octave (byte), name (4chars), frequency (_Hz)
0,C,16.351
0,C#,17.324
0,D,18.354
0,D#,19.445
0,E,20.601
0,F,21.827
0,F#,23.124
0,G,24.499
0,G#,25.956
0,A,27.50
0,A#,29.135
0,B,30.868
1,C,32.703
1,C#,34.648
1,D,36.71
1,D#,38.89
1,E,41.20
1,F,43.65
1,F#,46.25
1,G,49.00
1,G#,51.91
1,A,55.00
1,A#,58.27
1,B,61.74
2,C,65.41
2,C#,69.30
2,D,73.42
2,D#,77.78
2,E,82.41
2,F,87.31
2,F#,92.50
2,G,98.00
2,G#,103.83
2,A,110.00
2,A#,116.54
2,B,123.47
3,C,130.81
3,C#,138.59
3,D,146.83
3,D#,155.56
3,E,164.81
3,F,174.61
3,F#,185.00
3,G,196.00
3,G#,207.65
3,A,220.00
3,A#,233.08
3,B,246.94
4,C,261.63
4,C#,277.18
4,D,293.66
4,D#,311.13
4,E,329.63
4,F,349.23
4,F#,369.99
4,G,392.00
4,G#,415.30
4,A,440.00
4,A#,466.16
4,B,493.88
5,C,523.25
5,C#,554.37
5,D,587.33
5,D#,622.25
5,E,659.26
5,F,698.46
5,F#,739.99
5,G,783.99
5,G#,830.61
5,A,880.00
5,A#,932.33
5,B,987.77
6,C,1046.50
6,C#,1108.73
6,D,1174.66
6,D#,1244.51
6,E,1318.51
6,F,1396.91
6,F#,1479.98
6,G,1567.98
6,G#,1661.22
6,A,1760.00
6,A#,1864.66
6,B,1975.53
7,C,2093.00
7,C#,2217.46
7,D,2349.32
7,D#,2489.02
7,E,2637.02
7,F,2793.83
7,F#,2959.96
7,G,3135.96
7,G#,3322.44
7,A,3520.00
7,A#,3729.31
7,B,3951.07
8,C,4186.01
8,C#,4434.922
8,D,4698.636
8,D#,4978.032
8,E,5274.042
8,F,5587.652
8,F#,5919.91
8,G,6271.928
8,G#,6644.876
8,A,7040
8,A#,7458.62
8,B,7902.132
9,C,8372.018
9,C#,8869.844
9,D,9397.272
9,D#,9956.064
9,E,10548.084
9,F,11175.304
9,F#,11839.82
9,G,12543.856
9,G#,13289.752
9,A,14080
9,A#,14917.24
9,B,15804.264
